stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
1020,板橋,Banqiao,板橋,Banqiao,新北市板橋區新民里縣民大道二段 7 號　,"No. 7, Sec. 2, Xianmin Blvd., Banqiao Dist., New Taipei City",02-89691036,25.01401 121.46406,Y
1030,浮洲,Fuzhou,浮洲,Fuzhou,新北市板橋區僑中里僑中二街 156 號,"No. 156, Qiaozhong 2nd St., Banqiao Dist., New Taipei City",02-23815226#4665,25.00419 121.44477,N
1040,樹林,Shulin,樹林,Shulin,新北市樹林區樹北里鎮前街 112 號,"No. 112, Zhenqian St., Shulin Dist., New Taipei City",02-26812052,24.99121 121.42481,Y
1050,南樹林,South Shulin,南樹林,South Shulin,新北市樹林區東山里中山路二段 230 號,"No. 230, Sec. 2, Zhongshan Rd., Shulin Dist., New Taipei City",02-26812052,24.98034 121.40891,N
1060,山佳,Shanjia,山佳,Shanjia,新北市樹林區中山路三段108號,"No. 28, Shanjia St., Shulin Dist., New Taipei City",02-26808874,24.97273 121.39254,N
1070,鶯歌,Yingge,鶯歌,Yingge,新北市鶯歌區東鶯里文化路 68-1號,"No. 68-1, Wenhua Rd., Yingge Dist., New Taipei City",02-26792004,24.95432 121.35535,Y
1075,鳳鳴,Fengming,鳳鳴,Fengming,新北市鶯歌區鳳鳴里鳳一路 2 號,"No.2, Feng 1st Rd., Yingge Dist., New Taipei City",,24.9724 121.33669,N
1080,桃園,Taoyuan,桃園,Taoyuan,桃園市桃園區武陵里中正路 1 號,"No. 1, Zhongzheng Rd., Taoyuan Dist., Taoyuan City",03-3767050,24.98942 121.31384,Y
1090,內壢,Neili,內壢,Neili,桃園市中壢區中原里中華路一段 267 號,"No. 267, Sec. 1, Zhonghua Rd., Zhongli Dist., Taoyuan City",03-4559725,24.97281 121.25826,N
1100,中壢,Zhongli_Taoyuan,中壢,Zhongli_Taoyuan,桃園市中壢區石頭里中和路 139 號,"No. 139, Zhonghe Rd., Zhongli Dist., Taoyuan City",03-4223235,24.95369 121.22556,Y
1110,埔心,Puxin,埔心,Puxin,桃園市楊梅區埔心里永美路 208 號,"No. 208, Yongmei Rd., Yangmei Dist., Taoyuan City",03-4827100,24.91945 121.18366,Y
